period,cpi
1914-04-01,1.2869674
1914-07-01,
1914-10-01,
1915-01-01,
1915-04-01,
1915-07-01,1.3924987
1915-10-01,
1916-01-01,
1916-04-01,
1916-07-01,1.5031779
1916-10-01,
1917-01-01,
1917-04-01,
1917-07-01,1.6498922
1917-10-01,
1918-01-01,
1918-04-01,
1918-07-01,1.853233
1918-10-01,
1919-01-01,1.9626252
1919-04-01,
1919-07-01,2.0243997
1919-10-01,
1920-01-01,2.1955663
1920-04-01,
1920-07-01,2.3358458
1920-10-01,
1921-01-01,2.3873244
1921-04-01,
1921-07-01,2.2933758
1921-10-01,
1922-01-01,2.1234961
1922-04-01,
1922-07-01,2.0462781
1922-10-01,
1923-01-01,2.0218257
1923-04-01,
1923-07-01,2.0385563
1923-10-01,
1924-01-01,2.0861741
1924-04-01,
1924-07-01,2.0617217
1924-10-01,
1925-01-01,2.0539999
1925-04-01,
1925-07-01,2.0990437
1925-10-01,2.1054785
1926-01-01,2.090035
1926-04-01,2.0990437
1926-07-01,2.1016177
1926-10-01,2.0926089
1927-01-01,2.088748
1927-04-01,2.0810262
1927-07-01,2.0720175
1927-10-01,2.0733044
1928-01-01,2.0733044
1928-04-01,2.0861741
1928-07-01,2.0758783
1928-10-01,2.0861741
1929-01-01,2.0745914
1929-04-01,2.0707304
1929-07-01,2.0762972
1929-10-01,2.0762972
1930-01-01,2.0618066
1930-04-01,2.0493861
1930-07-01,2.0286852
1930-10-01,1.9934937
1931-01-01,1.929321
1931-04-01,1.8899894
1931-07-01,1.8444475
1931-10-01,1.8382373
1932-01-01,1.8113261
1932-04-01,1.7368029
1932-07-01,1.6995414
1932-10-01,1.6684901
1933-01-01,1.6498593
1933-04-01,1.6477892
1933-07-01,1.6477892
1933-10-01,1.6560696
1934-01-01,1.6643499
1934-04-01,1.6809106
1934-07-01,1.6705602
1934-10-01,1.6767705
1935-01-01,1.7098918
1935-04-01,1.7285226
1935-07-01,1.7347329
1935-10-01,1.7699244
1936-01-01,1.7388731
1936-04-01,1.7719945
1936-07-01,1.8009757
1936-10-01,1.8278868
1937-01-01,1.8589381
1937-04-01,1.90241
1937-07-01,1.9189706
1937-10-01,1.9603723
1938-01-01,1.952092
1938-04-01,1.9686527
1938-07-01,1.9707228
1938-10-01,1.9727929
1939-01-01,2.0059143
1939-04-01,2.0348955
1939-07-01,2.0597365
1939-10-01,2.1239092
1940-01-01,2.0969981
1940-04-01,2.1301195
1940-07-01,2.1570307
1940-10-01,2.1818717
1941-01-01,2.1860118
1941-04-01,2.212923
1941-07-01,2.2212033
1941-10-01,2.2646751
1942-01-01,2.235694
1942-04-01,2.2708854
1942-07-01,2.3143573
1942-10-01,2.3536889
1943-01-01,2.3247077
1943-04-01,2.3309179
1943-07-01,2.355759
1943-10-01,2.3868103
1944-01-01,2.3661094
1944-04-01,2.3785299
1944-07-01,2.3950906
1944-10-01,2.4220018
1945-01-01,2.4075112
1945-04-01,2.4095812
1945-07-01,2.4220018
1945-10-01,2.4530531
1946-01-01,2.4302821
1946-04-01,2.4344223
1946-07-01,2.4530531
1946-10-01,2.4489129
1947-01-01,2.4385625
1947-04-01,2.4551232
1947-07-01,2.4965249
1947-10-01,2.6973233
1948-01-01,2.6849028
1948-04-01,2.7159541
1948-07-01,2.7345849
1948-10-01,2.7407952
1949-01-01,2.7407952
1949-04-01,2.7462768
1949-07-01,2.7791663
1949-10-01,2.7901294
1950-01-01,2.7956111
1950-04-01,2.8833165
1950-07-01,2.9792444
1950-10-01,3.0285786
1951-01-01,3.0724314
1951-04-01,3.2039896
1951-07-01,3.3081397
1951-10-01,3.3903636
1952-01-01,3.4342163
1952-04-01,3.4808099
1952-07-01,3.519181
1952-10-01,3.5465889
1953-01-01,3.5822192
1953-04-01,3.6233312
1953-07-01,3.6644431
1953-10-01,3.7439262
1954-01-01,3.774075
1954-04-01,3.8371132
1954-07-01,3.8425948
1954-10-01,3.8343724
1955-01-01,3.8864476
1955-04-01,3.9248187
1955-07-01,3.9303002
1955-10-01,3.9303002
1956-01-01,3.9702884
1956-04-01,4.0251591
1956-07-01,4.1113846
1956-10-01,4.1113846
1957-01-01,4.0800299
1957-04-01,4.13882
1957-07-01,4.1662553
1957-10-01,4.185852
1958-01-01,4.1897714
1958-04-01,4.232884
1958-07-01,4.4288509
1958-10-01,4.4562862
1959-01-01,4.464125
1959-04-01,4.475883
1959-07-01,4.522915
1959-10-01,4.5072376
1960-01-01,4.4876409
1960-04-01,4.4954796
1960-07-01,4.534673
1960-10-01,4.5777857
1961-01-01,4.558189
1961-04-01,4.558189
1961-07-01,4.6287371
1961-10-01,4.6757692
1962-01-01,4.6914465
1962-04-01,4.7071238
1962-07-01,4.7423979
1962-10-01,4.7737525
1963-01-01,4.7776719
1963-04-01,4.7972686
1963-07-01,4.8325426
1963-10-01,4.8795746
1964-01-01,4.8991714
1964-04-01,4.942284
1964-07-01,5.0167515
1964-10-01,5.0990575
1965-01-01,5.1108156
1965-04-01,5.1186542
1965-07-01,5.185283
1965-10-01,5.220557
1966-01-01,5.2558467
1966-04-01,5.2867938
1966-07-01,5.3177409
1966-10-01,5.3435301
1967-01-01,5.4776342
1967-04-01,5.6272117
1967-07-01,5.6891059
1967-10-01,5.6942637
1968-01-01,5.7510001
1968-04-01,5.8283678
1968-07-01,5.8954198
1968-10-01,5.9831032
1969-01-01,6.0656288
1969-04-01,6.1326808
1969-07-01,6.194575
1969-10-01,6.2203642
1970-01-01,6.3544683
1970-04-01,6.4524674
1970-07-01,6.5710978
1970-10-01,6.8393059
1971-01-01,7.0095148
1971-04-01,7.1642503
1971-07-01,7.3035122
1971-10-01,7.4634055
1972-01-01,7.6026674
1972-04-01,7.6955086
1972-07-01,7.7780342
1972-10-01,7.8708754
1973-01-01,8.0565579
1973-04-01,8.2783454
1973-07-01,8.4691857
1973-10-01,8.6703418
